日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2018-04-04,'399810,CSSW传媒,3470.2458,3539.7611,3466.23,3529.5242,3517.611,-47.3652,-1.3465,,616271200,8545486997.71,,,0
2018-04-03,'399810,CSSW传媒,3517.611,3537.3467,3475.5401,3524.5079,3578.6177,-61.0067,-1.7048,,800389052,11138670578.8,,,0
2018-04-02,'399810,CSSW传媒,3578.6177,3616.7322,3565.2311,3580.7902,3574.1303,4.4874,0.1256,,931529182,13900156204.0,,,0
2018-03-30,'399810,CSSW传媒,3574.1303,3576.2066,3512.6883,3518.0375,3504.2612,69.8691,1.9938,,978689553,13387517217.1,,,0
2018-03-29,'399810,CSSW传媒,3504.2612,3525.478,3477.7645,3507.3186,3493.7321,10.5291,0.3014,,745596405,10652174017.0,,,0
2018-03-28,'399810,CSSW传媒,3493.7321,3512.1208,3454.4802,3459.6091,3510.5268,-16.7947,-0.4784,,827139783,11988200432.0,,,0
2018-03-27,'399810,CSSW传媒,3510.5268,3522.5881,3434.4172,3434.4172,3402.2738,108.25299999999999,3.1818,,1028424876,14144269549.1,,,0
2018-03-26,'399810,CSSW传媒,3402.2738,3403.4667,3253.1378,3276.4613,3321.7394,80.5344,2.4245,,823578900,11139905536.0,,,0
2018-03-23,'399810,CSSW传媒,3321.7394,3453.5545,3280.1365,3427.5229999999997,3534.8306,-213.0912,-6.0283,,1174938595,15224344400.4,,,0
2018-03-22,'399810,CSSW传媒,3534.8306,3579.7178,3512.3134,3540.0694,3543.3604,-8.5298,-0.2407,,878071016,12521970448.7,,,0
2018-03-21,'399810,CSSW传媒,3543.3604,3601.4433,3537.827,3571.7918,3566.7267,-23.3663,-0.6551,,1019271220,15135473401.1,,,0
2018-03-20,'399810,CSSW传媒,3566.7267,3569.1119,3510.0998,3540.2488,3561.1993,5.5274,0.1552,,745540850,10342323442.9,,,0
2018-03-19,'399810,CSSW传媒,3561.1993,3597.1286,3533.0989,3547.9044,3529.8938,31.3055,0.8869,,855132593,11867347296.2,,,0
2018-03-16,'399810,CSSW传媒,3529.8938,3587.225,3529.7088,3542.3708,3542.8862,-12.9924,-0.3667,,961770539,13105158682.8,,,0
2018-03-15,'399810,CSSW传媒,3542.8862,3547.8787,3470.3408,3522.2544,3541.9371,0.9491,0.0268,,802767820,11504778308.2,,,0
2018-03-14,'399810,CSSW传媒,3541.9371,3585.1079,3541.325,3570.739,3584.0647,-42.1276,-1.1754,,771403341,10832247115.2,,,0
2018-03-13,'399810,CSSW传媒,3584.0647,3630.0395,3568.4569,3600.6082,3589.8799,-5.8152,-0.162,,1003396110,13939653783.1,,,0
2018-03-12,'399810,CSSW传媒,3589.8799,3589.9854,3547.4146,3548.1163,3510.9539,78.926,2.248,,1166036174,16507589249.5,,,0
2018-03-09,'399810,CSSW传媒,3510.9539,3514.5012,3401.5042,3401.5042,3398.4426,112.5113,3.3107,,1219692874,16204340850.8,,,0
2018-03-08,'399810,CSSW传媒,3398.4426,3410.56,3386.3671,3392.6005,3399.7653,-1.3227,-0.0389,,555271544,7020731448.84,,,0
2018-03-07,'399810,CSSW传媒,3399.7653,3427.8328,3396.8190000000004,3425.3417,3420.2368,-20.4715,-0.5985,,702755726,9323153513.49,,,0
2018-03-06,'399810,CSSW传媒,3420.2368,3435.4413,3403.2023,3417.8634,3394.5917,25.6451,0.7555,,807516269,10550671882.9,,,0
2018-03-05,'399810,CSSW传媒,3394.5917,3395.0406,3358.0948,3382.4457,3381.4668,13.1249,0.3881,,651804913,8135297682.0,,,0
2018-03-02,'399810,CSSW传媒,3381.4668,3407.5616,3356.1904,3374.2147,3401.6297,-20.1629,-0.5927,,861988241,11179794395.2,,,0
2018-03-01,'399810,CSSW传媒,3401.6297,3401.895,3305.9829999999997,3310.0948,3334.6411,66.9886,2.0089,,919520664,11578508681.1,,,0
2018-02-28,'399810,CSSW传媒,3334.6411,3363.7483,3276.9553,3295.5571,3328.3202,6.3209,0.1899,,900295276,12247847674.1,,,0
2018-02-27,'399810,CSSW传媒,3328.3202,3342.12,3261.6223,3269.225,3270.7991,57.5211,1.7586,,1005383621,13330142812.4,,,0
2018-02-26,'399810,CSSW传媒,3270.7991,3277.1848,3180.1690000000003,3190.1659,3166.4813,104.3178,3.2944,,836621451,10810502647.9,,,0
2018-02-23,'399810,CSSW传媒,3166.4813,3200.5984,3155.3759999999997,3191.5616,3199.7976,-33.3163,-1.0412,,561006942,7310440755.61,,,0
2018-02-22,'399810,CSSW传媒,3199.7976,3210.0479,3158.6179,3167.0738,3129.152,70.6456,2.2577,,683965623,8807841214.81,,,0
2018-02-14,'399810,CSSW传媒,3129.152,3164.6419,3128.4185,3152.6841,3157.9385,-28.7865,-0.9116,,510351363,6021354834.69,,,0
2018-02-13,'399810,CSSW传媒,3157.9385,3193.9649,3154.762,3170.9921,3164.0958,-6.1573,-0.1946,,670668165,8218340758.68,,,0
2018-02-12,'399810,CSSW传媒,3164.0958,3185.215,3105.3322,3120.2435,3105.2986,58.7972,1.8934,,762775151,9146781767.62,,,0
2018-02-09,'399810,CSSW传媒,3105.2986,3178.1869,3077.0223,3150.0173,3232.2756,-126.977,-3.9284,,1089039690,12612306249.5,,,0
2018-02-08,'399810,CSSW传媒,3232.2756,3256.7151,3206.1106,3212.0932,3227.903,4.3726,0.1355,,987693183,11883912276.0,,,0
2018-02-07,'399810,CSSW传媒,3227.903,3262.6312,3150.9515,3234.9285,3177.4119,50.4911,1.5891,,1206571321,14851961958.6,,,0
2018-02-06,'399810,CSSW传媒,3177.4119,3321.1503,3174.2389,3267.0392,3331.2588,-153.8469,-4.6183,,1045180191,13153997172.9,,,0
2018-02-05,'399810,CSSW传媒,3331.2588,3347.4772,3292.6765,3313.4352,3364.5383,-33.2795,-0.9891,,839243280,10808527097.8,,,0
2018-02-02,'399810,CSSW传媒,3364.5383,3411.3587,3322.5019,3334.1234,3359.7503,4.788,0.1425,,987381419,13160067030.0,,,0
2018-02-01,'399810,CSSW传媒,3359.7503,3489.8465,3359.4911,3478.8749,3473.2943,-113.544,-3.2691,,1058479076,13534365184.9,,,0
2018-01-31,'399810,CSSW传媒,3473.2943,3554.4945,3463.5542,3553.9447,3592.4361,-119.1418,-3.3165,,1157014907,14309902552.7,,,0
2018-01-30,'399810,CSSW传媒,3592.4361,3632.3103,3583.6664,3618.4525,3629.1903,-36.7542,-1.0127,,950153026,12169999174.9,,,0
2018-01-29,'399810,CSSW传媒,3629.1903,3673.3593,3607.6367,3657.6613,3671.8098,-42.6195,-1.1607,,1137683256,14729377063.6,,,0
2018-01-26,'399810,CSSW传媒,3671.8098,3689.4184,3637.5791,3641.9197,3641.0959999999995,30.7138,0.8435,,1242584949,16204547316.2,,,0
2018-01-25,'399810,CSSW传媒,3641.0959999999995,3743.659,3633.1615,3646.3027,3640.6397,0.4563,0.0125,,1803787668,24399631926.8,,,0
2018-01-24,'399810,CSSW传媒,3640.6397,3648.6997,3467.4593,3477.9667,3483.3777,157.262,4.5146,,1537861185,21203032649.5,,,0
2018-01-23,'399810,CSSW传媒,3483.3777,3498.8592,3461.8998,3474.8217,3474.3917,8.986,0.2586,,699948982,10206102247.5,,,0
2018-01-22,'399810,CSSW传媒,3474.3917,3495.6257,3364.3136,3380.89,3386.7478,87.6439,2.5878,,889355831,11568260713.6,,,0
2018-01-19,'399810,CSSW传媒,3386.7478,3398.842,3367.9978,3375.2245,3372.6415,14.1063,0.4183,,561599179,7244575444.51,,,0
2018-01-18,'399810,CSSW传媒,3372.6415,3400.7351,3364.3375,3365.6768,3380.0299,-7.3884,-0.2186,,432381596,5395779036.04,,,0
2018-01-17,'399810,CSSW传媒,3380.0299,3384.4743,3292.2454,3337.4253,3342.7839,37.246,1.1142,,763696431,8945379945.56,,,0
2018-01-16,'399810,CSSW传媒,3342.7839,3342.7839,3325.1406,3326.1441,3331.4447,11.3392,0.3404,,506767512,6225139261.39,,,0
2018-01-15,'399810,CSSW传媒,3331.4447,3424.0065,3325.8527,3424.0065,3446.3063,-114.8616,-3.3329,,629500801,7864449098.34,,,0
2018-01-12,'399810,CSSW传媒,3446.3063,3481.5134,3444.7539,3463.3386,3461.4319,-15.1256,-0.43700000000000006,,588519977,7473787347.4,,,0
2018-01-11,'399810,CSSW传媒,3461.4319,3470.0164,3396.4146,3413.1087,3415.7448,45.6871,1.3375,,643059191,7920425556.5,,,0
2018-01-10,'399810,CSSW传媒,3415.7448,3428.2469,3395.1269,3416.8886,3420.4996,-4.7548,-0.139,,456385024,5764004872.46,,,0
2018-01-09,'399810,CSSW传媒,3420.4996,3436.772,3411.2958,3434.8705,3437.9313,-17.4317,-0.507,,479589147,5578729569.84,,,0
2018-01-08,'399810,CSSW传媒,3437.9313,3446.5227,3415.8925,3446.5227,3443.9987,-6.0674,-0.1762,,580305254,6947852572.2,,,0
2018-01-05,'399810,CSSW传媒,3443.9987,3455.0855,3435.1,3445.63,3447.8421,-3.8434,-0.1115,,461754288,5666163201.95,,,0
2018-01-04,'399810,CSSW传媒,3447.8421,3456.8613,3439.7919,3452.6794,3453.467,-5.6249,-0.1629,,407978192,5226549206.59,,,0
2018-01-03,'399810,CSSW传媒,3453.467,3455.3744,3412.6451,3419.5346,3421.2549,32.2121,0.9415,,519226483,6649331862.34,,,0
2018-01-02,'399810,CSSW传媒,3421.2549,3422.0325,3387.9343,3398.9675,3388.1887,33.0662,0.9759,,428359903,5303015386.26,,,0
