报告日期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,2006-12-31,2005-12-31,2004-12-31
流动比率(%),1.43,1.42,1.1,1.09,1.35,1.33,1.26,1.28,1.3,1.25,1.21,1.2,1.18,1.18,1.15,1.16,1.15,1.12,1.1,1.09,1.09,1.1,1.1,1.1,1.15,1.23,1.17,1.19,1.16,1.12,1.14,1.1,1.08,1.09,0.97,0.91,0.9,0.96,0.94,0.95,0.99,0.99,0.92,0.91,0.99
速动比率(%),1.18,1.21,0.95,0.93,1.18,1.21,1.15,1.16,1.15,1.14,1.1,1.07,0.98,1.03,1.02,0.99,0.88,0.95,0.94,0.89,0.83,0.92,0.91,0.83,0.84,0.91,0.88,0.9,0.7,0.87,0.92,0.81,0.76,0.85,0.77,0.61,0.59,0.6,0.61,0.6,0.48,0.67,0.46,0.47,0.54
现金比率(%),40.54,36.25,24.85,26.45,20.11,22.82,17.96,17.39,17.93,13.16,18.56,12.51,10.23,13.94,23.7,39.41,29.12,30.59,31.63,28.43,26.44,29.7,27.95,18.18,24.64,25.56,21.84,24.31,22.23,28.54,27.36,18.13,19.5,25.81,18.02,17.77,19.46,19.0,19.35,18.13,17.49,15.22,12.88,14.54,14.2
利息支付倍数(%),2778.45,2309.22,4025.73,-2948.49,-1780.22,-1689.4,-1245.2,-1672.67,11653.39,14107.94,-1383204.26,2361.5,5666.73,-101408.23,-2931.79,-7727.6,1874.44,1394.89,1020.86,1082.8,1055.27,997.04,956.34,2454.59,667.19,675.16,789.12,605.26,1108.42,1326.8,1310.1,1148.66,956.9,858.24,948.6,554.28,484.06,535.23,627.06,416.91,779.07,1028.48,764.74,508.82,979.09
资产负债率(%),66.58,66.86,67.54,67.05,59.57,59.54,62.59,58.77,56.51,59.75,63.01,63.65,61.98,61.86,64.3,63.34,59.69,61.07,61.82,64.73,62.2,67.04,68.91,68.55,66.63,71.93,71.6,71.12,68.22,71.03,71.62,72.05,68.15,65.93,69.7,69.94,68.94,69.53,72.12,72.97,68.75,67.58,69.79,69.57,68.05
长期债务与营运资金比率(%),0.65,0.68,0.28,0.32,0.07,0.07,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.08,0.11,0.25,0.39,0.5,0.51,0.43,0.5,0.43,0.38,0.17,0.23,0.33,0.46,0.44,0.62,0.98,0.81,-1.91,-0.3,-0.29,-0.17,-0.1,-0.38,-3.66,-0.15,-0.03,-0.02,-0.5
股东权益比率(%),33.42,33.14,32.46,32.95,40.43,40.46,37.41,41.23,43.49,40.25,36.99,36.35,38.02,38.14,35.7,36.66,40.31,38.93,38.18,35.27,37.8,32.96,31.09,31.45,33.37,28.07,28.4,28.88,31.78,28.97,28.38,27.95,31.85,34.07,30.3,30.06,31.06,30.47,27.88,27.03,31.25,32.42,30.21,30.43,31.95
长期负债比率(%),13.3,13.66,1.75,1.79,1.32,1.29,1.24,0.06,0.07,0.01,0.01,0.01,0.02,0.02,0.58,0.72,0.73,0.77,1.48,2.2,2.72,2.99,2.55,3.1,3.67,5.28,1.89,2.78,3.2,3.5,3.96,4.21,5.0,4.53,3.67,1.77,1.97,0.52,0.42,1.25,1.48,0.09,0.17,0.11,0.2
股东权益与固定资产比率(%),366.49,,331.5,,327.28,,298.13,,298.91,,277.89,,234.03,,212.21,,199.41,,,,163.63,,,,172.11,,,,190.07,,,,192.78,,,,147.92,,,,161.68,148.96,124.18,119.96,152.62
负债与所有者权益比率(%),199.19,201.77,208.04,203.52,147.33,147.15,167.32,142.57,129.95,148.46,170.32,175.08,163.04,162.19,180.11,172.81,148.07,156.87,161.94,183.54,164.54,203.4,221.65,217.96,199.7,256.29,252.11,246.22,214.71,245.21,252.31,257.83,214.01,193.51,229.99,232.66,221.96,228.15,258.69,269.97,219.98,208.45,231.04,228.62,212.95
长期资产与长期资金比率(%),67.55,69.56,99.81,101.79,70.17,72.45,78.26,61.73,63.21,64.66,65.14,68.51,74.02,73.88,76.31,76.14,79.46,83.0,86.39,85.86,90.49,91.81,96.47,96.2,90.55,71.93,79.5,76.32,87.67,86.24,82.58,87.79,87.24,86.32,106.82,120.26,122.28,110.81,116.14,112.01,101.43,102.08,117.82,121.97,102.0
资本化比率(%),28.46,29.19,5.11,5.15,3.16,3.1,3.22,0.14,0.16,0.01,0.02,0.03,0.04,0.05,1.59,1.92,1.79,1.94,3.73,5.87,6.72,8.32,7.57,8.98,9.9,15.83,6.23,8.79,9.15,10.78,12.25,13.1,13.57,11.74,10.81,5.57,5.95,1.69,1.49,4.41,4.51,0.28,0.57,0.35,0.62
固定资产净值率(%),56.34,,57.86,,58.2,,60.14,,59.3,,60.29,,62.38,,64.41,,66.09,,,,70.31,,,,71.59,,,,70.61,,,,68.62,,,,66.33,,,,64.8,68.02,69.03,73.61,72.32
资本固定化比率(%),94.42,98.23,105.19,107.32,72.46,74.76,80.86,61.82,63.31,64.67,65.15,68.53,74.05,73.92,77.54,77.63,80.91,84.65,89.74,91.21,97.01,100.14,104.38,105.68,100.51,85.47,84.78,83.68,96.51,96.67,94.11,101.03,100.94,97.79,119.77,127.36,130.02,112.71,117.89,117.18,106.22,102.37,118.5,122.39,102.63
产权比率(%),183.39,184.41,189.01,184.68,132.56,132.39,151.69,141.42,128.67,147.48,168.99,172.25,159.98,159.33,177.5,169.77,146.77,155.78,160.8,182.41,160.4,194.58,206.5,202.58,184.38,239.68,235.15,229.38,197.71,234.31,240.62,247.71,212.78,192.5,228.68,231.11,220.42,227.08,257.64,269.52,219.78,208.22,230.73,227.08,212.17
清算价值比率(%),153.17,152.83,151.47,152.24,179.06,179.83,169.84,167.61,174.01,164.29,156.28,155.73,159.73,159.63,153.16,155.77,163.22,158.93,156.86,149.83,158.02,150.15,150.17,151.43,156.78,144.95,145.83,147.16,153.92,142.69,141.85,139.56,141.95,146.3,137.9,137.06,138.49,138.93,134.3,132.35,139.53,142.22,137.14,136.96,142.59
固定资产比重(%),9.12,,9.79,,12.35,,12.55,,14.55,,13.31,,16.24,,16.82,,20.22,,,,23.1,,,,19.39,,,0.0,16.72,0.0,0.0,,16.52,0.0,0.0,0.0,21.0,0.0,0.0,0.0,19.33,21.76,24.33,25.37,20.94
